"","0061.00113.0","0063.00113.0","0061.00115.0","0063.00115.0"
"1861-01-01",249.250442504883,246.262969970703,247.97053527832,245.049392700195
"1861-02-01",256.001800537109,254.361145019531,255.886169433594,254.166046142578
"1861-03-01",255.934509277344,253.36051940918,255.585494995117,253.076950073242
"1861-04-01",265.289123535156,264.422485351562,265.080413818359,264.299224853516
"1861-05-01",277.067810058594,276.246185302734,276.727111816406,276.087219238281
"1861-06-01",286.081817626953,285.652038574219,285.934906005859,285.451049804688
"1861-07-01",286.998077392578,287.746917724609,287.162780761719,287.911224365234
"1861-08-01",280.969055175781,280.296203613281,281.033599853516,280.552337646484
"1861-09-01",273.595977783203,273.098724365234,273.472442626953,273.166412353516
"1861-10-01",265.220642089844,263.7666015625,264.832763671875,263.458557128906
"1861-11-01",249.769744873047,248.336273193359,249.462768554688,247.981857299805
"1861-12-01",246.757568359375,245.610748291016,245.741668701172,244.578994750977
"1862-01-01",236.895523071289,235.947647094727,237.1669921875,235.836975097656
"1862-02-01",250.964233398438,249.787780761719,250.361328125,249.170944213867
"1862-03-01",256.924499511719,254.802978515625,256.244384765625,254.152465820312
"1862-04-01",266.424255371094,264.601257324219,266.23291015625,264.392578125
"1862-05-01",277.900482177734,276.636840820312,278.058135986328,276.827575683594
"1862-06-01",280.794738769531,280.921722412109,280.748260498047,281.010345458984
"1862-07-01",284.648559570312,284.53076171875,284.616638183594,284.653472900391
"1862-08-01",281.233520507812,281.129028320312,281.240783691406,281.254180908203
"1862-09-01",272.307373046875,271.995544433594,272.494873046875,272.299743652344
"1862-10-01",262.123718261719,260.464752197266,262.002899169922,260.415008544922
"1862-11-01",255.06169128418,252.828002929688,254.015716552734,251.862152099609
"1862-12-01",242.155487060547,240.016143798828,241.670516967773,239.692230224609
"1863-01-01",234.861267089844,234.055130004883,234.548400878906,233.975967407227
"1863-02-01",249.792068481445,247.928344726562,249.224105834961,247.380447387695
"1863-03-01",256.101379394531,254.527816772461,255.825149536133,254.483428955078
"1863-04-01",264.936096191406,264.312347412109,264.546630859375,264.122863769531
"1863-05-01",275.805267333984,275.685577392578,275.648284912109,275.595123291016
"1863-06-01",283.720825195312,283.988311767578,283.736114501953,284.075622558594
"1863-07-01",290.295104980469,288.803802490234,290.294189453125,288.879516601562
"1863-08-01",282.481658935547,281.699890136719,282.619689941406,281.828369140625
"1863-09-01",277.392700195312,277.718444824219,277.118347167969,277.517944335938
"1863-10-01",261.641479492188,260.250396728516,261.502777099609,260.148895263672
"1863-11-01",256.461486816406,253.315551757812,255.353744506836,252.134384155273
"1863-12-01",242.310974121094,239.797210693359,241.564666748047,239.195526123047
"1864-01-01",242.473541259766,239.672058105469,241.82048034668,239.328353881836
"1864-02-01",249.728622436523,248.552291870117,249.385299682617,248.313201904297
"1864-03-01",258.958312988281,258.082092285156,258.800048828125,258.021789550781
"1864-04-01",266.757873535156,265.717834472656,266.520172119141,265.541625976562
"1864-05-01",274.78759765625,274.416015625,274.568450927734,274.265930175781
"1864-06-01",286.362457275391,286.466644287109,286.092071533203,286.412384033203
"1864-07-01",286.657012939453,287.007629394531,286.404052734375,286.961822509766
"1864-08-01",282.808929443359,282.464019775391,282.631072998047,282.437164306641
"1864-09-01",272.550018310547,272.39013671875,272.319152832031,272.246765136719
"1864-10-01",260.228698730469,259.202209472656,260.284973144531,259.422485351562
"1864-11-01",248.256698608398,247.259475708008,247.778457641602,246.755523681641
"1864-12-01",251.827026367188,250.153503417969,251.453552246094,249.724304199219
"1865-01-01",249.953659057617,247.574935913086,249.362121582031,246.862091064453
"1865-02-01",248.745574951172,247.291107177734,247.915451049805,246.690338134766
"1865-03-01",250.521667480469,249.661880493164,249.98583984375,249.19010925293
"1865-04-01",267.666442871094,267.673126220703,267.310821533203,267.490417480469
"1865-05-01",274.802276611328,274.780059814453,274.594604492188,274.604797363281
"1865-06-01",282.990570068359,284.298309326172,282.688293457031,284.139801025391
"1865-07-01",287.268890380859,287.052734375,287.350524902344,287.227752685547
"1865-08-01",285.0927734375,285.044128417969,285.373352050781,285.527618408203
