,0061.00113.0,0063.00113.0,0061.00115.0,0063.00115.0
1862,,,,
1863,,,,
1864,,,,
1865,,,,
1866,,,,
1867,,,,
1868,,,,
1869,,,,
1870,,,,
1871,,,,
1872,,,,
1873,,,,
1874,,,,
1875,,,,
1876,,,,
1877,,,,
1878,,,,
1879,,,,
1880,,,,
1881,,,,
1882,,,,
1883,,,,
1884,,,,
1885,,,,
1886,,,,
1887,,,,
1888,,,,
1889,,,,
1890,,,,
1891,,,,
1892,,,,
1893,,,,
1894,,,,
1895,,,,
1896,,,,
1897,,,,
1898,,,,
1899,,,,
1900,,,,
1901,,,,
1902,,,,
1903,,,,
1904,,,,
1905,,,,
1906,,,,
1907,,,,
1908,,,,
1909,,,,
1910,,,,
1911,,,,
1912,,,,
1913,,,,
1914,,,,
1915,,,,
1916,,,,
1917,,,,
1918,,,,
1919,,,,
1920,,,,
1921,,,,
1922,0.13566855060367955,0.13158718138197972,0.13337612241412725,0.12862868100179575
1923,0.13767350555836094,0.1315371249624833,0.1345349026172112,0.12827363425936344
1924,0.13512761801485815,0.12925785753138005,0.13056298492815202,0.1265733388544712
1925,0.13775321948061664,0.134655593127269,0.13255445259816476,0.13268952574907364
1926,0.15348898707464367,0.15190115516095262,0.14680632464482934,0.14957912231475815
1927,0.1692822453853823,0.15437326435107773,0.1583874383757764,0.14800865554711062
1928,0.168672052230785,0.15524448859089274,0.15750211912082585,0.14932669971581045
1929,0.16805652694661302,0.15027917460716325,0.15559948916542254,0.1436883788659192
1930,0.1671803429800933,0.1448344585235879,0.15279029917057513,0.13656393370545425
1931,0.1867763375112721,0.16350020469654378,0.17477367672105915,0.1567224601444212
1932,0.18324749406024754,0.15636925166460786,0.16961106898878453,0.14879120453353753
1933,0.18018600764907772,0.15934509424355933,0.16648320252334572,0.15145574998809672
1934,0.20362468777420073,0.1761316698037645,0.1887835623181104,0.1671444999936317
1935,0.2025813541232698,0.17385645028652075,0.18558252785242016,0.16317491294409775
1936,0.20197312832436168,0.17476993463432694,0.185542292548543,0.16435480765309027
1937,0.18584521810357302,0.16022444857005136,0.16908265528318273,0.14907476548145598
1938,0.19188622660441954,0.16705018149719056,0.17797439799053402,0.15824995330621336
1939,0.18734188934928186,0.1651109151994352,0.1692851118548009,0.15201053506333145
1940,0.17355182453838472,0.1524184470315839,0.155186983154956,0.1396364270076069
1941,0.17308226576433858,0.15347521492194585,0.15608660090415627,0.1427933694667993
1942,0.16542755203764886,0.1452566919149924,0.14501493028081205,0.12989371041176245
1943,0.1627131928542483,0.1425811542920126,0.14252762972320784,0.1277764309623262
1944,0.1612869102122802,0.1415801500287574,0.1397593590002171,0.12490296454412544
1945,0.1524570150566552,0.1400699752039658,0.1324517900406387,0.1240928258122395
1946,0.15674327876132232,0.14263549819194418,0.1365998169759731,0.12612980438907295
1947,0.16115849194776038,0.14336367686211351,0.14093164877606515,0.12658227850170473
1948,0.13547642843980343,0.12933024388092001,0.12303518619677835,0.11981706583909987
1949,0.13488325262959125,0.12774152961797397,0.12359929398269906,0.1191402728049076
1950,0.13536193843671926,0.1278746774128888,0.12366533252321021,0.11909611031558567
1951,0.13293417838416058,0.12371501367679774,0.11796370234637389,0.11253867542929681
1952,0.13450729205880935,0.14985035194191884,0.1271676008623492,0.14849225037024585
1953,0.15156909757319348,0.1597906433252017,0.14184309611264898,0.1548045412675022
1954,0.18177148251229255,0.21222344178373678,0.17960571383744647,0.21735255479215976
1955,0.17711557617960322,0.21579228020122557,0.17933862026631806,0.22181135475651298
1956,0.16326950101606066,0.20480425939531272,0.16400476898134092,0.2128826054415822
1957,0.16787029325076366,0.21073089578918225,0.1696156553511846,0.21924884446709822
1958,0.14397037782216188,0.17076885550532114,0.13809611648516085,0.17514734869585571
1959,0.16480124275580305,0.19357005305065997,0.160209328903929,0.1933054533046771
1960,0.1637263683761417,0.19607121583878234,0.16797403945992964,0.2054601791812152
1961,0.16186715917436073,0.19922063454396652,0.1672404645791349,0.20760990424505082
1962,0.1581946641725977,0.1998353924997686,0.16278555999130587,0.20769530088500568
1963,0.16236149315190052,0.2169667915040845,0.16770230148083282,0.22668562845365714
1964,0.17373425656675867,0.22748778987190518,0.17665694140810373,0.23346060474567762
1965,0.17523584944878273,0.2291323649918396,0.17738427073487234,0.2341379430852655
1966,0.17859672523431927,0.23129377948510502,0.17970162067272324,0.23518425263684886
1967,0.16213882153727216,0.2110809854982433,0.16350577115392903,0.2169272703936249
1968,0.15821970681655548,0.20736164254990253,0.159806400124249,0.213540368761288
1969,0.1573335237626271,0.2083339296311846,0.15749390739160843,0.20937181437995286
1970,0.15958297745480152,0.21576917631253417,0.159747780567677,0.21510510453623477
1971,0.1576077308447958,0.21668320922867845,0.15792732416070368,0.21629126916727576
1972,0.15448198967120155,0.18216706657650783,0.1532782951688983,0.17870082829776018
1973,0.16081651195649332,0.18743317720091202,0.1597472872645693,0.1831300007813802
1974,0.19035964723939788,0.2215431070562017,0.18367425713840693,0.21222531788372961
1975,0.1930212026927132,0.2237920942334019,0.18728671512967232,0.2164630544562662
1976,0.19297308942364677,0.22017991412988397,0.18624730305202958,0.2166076895846838
1977,0.1930237557155122,0.21967152035363519,0.1862169975849183,0.2154306026748408
1978,0.1940560943764051,0.21387144123150445,0.18997759997600672,0.21156206810733827
1979,0.19327241392651723,0.2160432047597252,0.18753602123280744,0.21299243121469152
1980,0.24385176577604017,0.24134910460166842,0.23785684100062998,0.2416855494539247
1981,0.23713892645126644,0.23448993609903865,0.2326579071246412,0.23575956234746034
1982,0.2514838023861487,0.24467842153505706,0.2514021730464045,0.25018489707263447
1983,0.2507264395414746,0.24609673337509982,0.25062467650755016,0.25124640463078407
1984,0.2690281769005149,0.2669177133988338,0.2697273774057851,0.2737746340027678
1985,0.2838683671707623,0.27145373223805597,0.2773649267803269,0.27477536296068555
1986,0.3191969705529366,0.3060626000824714,0.31209954743542534,0.30816431308881786
1987,0.3418039813345007,0.34563476498971124,0.33087816736289033,0.34090861533202615
1988,0.33921899496961866,0.3436257462377744,0.3261855856082362,0.33616478374569364
1989,0.346644333449138,0.35104391256504414,0.33529503236887637,0.3435253270067381
1990,0.3504455031547553,0.35102962548880023,0.337474204262675,0.34240228684839946
1991,0.3639534201062427,0.3748855522601984,0.35388188854318425,0.3676188162355443
1992,0.3812970294222903,0.39671311520613245,0.3742759700724417,0.3940877896819243
1993,0.38553449692807756,0.3982546042218871,0.37839720013774375,0.39547752614903664
1994,0.4289917173639121,0.4313076062608621,0.42432737853960006,0.4284964973586172
1995,0.4368962490905417,0.4363178578587999,0.43152328252655975,0.4330695093489232
1996,0.4601913484871554,0.4546211583764959,0.45239249516681773,0.4486720973554988
1997,0.4740458844288088,0.47142481263489283,0.46771987674429555,0.4664774056491265
1998,0.488863805411424,0.4842013407458236,0.48214372377103715,0.47811058038345955
1999,0.4960002211317565,0.4888483063189723,0.48793663938956205,0.4818347121715204
2000,0.5113902591874626,0.5005066045571138,0.5036894842467986,0.4938340424935335
2001,0.5304692301326535,0.5192760488539961,0.5222914703854321,0.5115309900567433
2002,0.5328180876500728,0.5245215717568549,0.5253645578074086,0.5178914160407232
2003,0.5459710021868517,0.5478750828202046,0.5398518247491185,0.5398133207186415
2004,0.5863338323345968,0.5814728946588594,0.5775147095334091,0.5705879367871783
2005,0.5883836860982603,0.5846691008431067,0.5802716879634241,0.574744046206151
2006,0.6231779819457951,0.6220602553097143,0.619315312615598,0.614697297147589
2007,0.6307600914175929,0.6300758870487936,0.6263695788376005,0.6224664300962245
2008,0.6558276554492822,0.6525121895458155,0.6467172437332577,0.6408992979551513
2009,0.7085946294105404,0.7110158917991988,0.701546024674427,0.7026054880188959
2010,0.7144831702565061,0.7153998270629579,0.7064816534229281,0.7064894792955979
2011,0.714311264049617,0.7140492464900047,0.7057492803983776,0.7048791551864635
2012,0.7291275702883168,0.7350683533150361,0.722621722512007,0.7282114536068229
2013,0.7280478839936272,0.7316058622709471,0.72171860333995,0.7251057218031021
2014,0.7248535046363627,0.729507653987919,0.7186258161140361,0.7230695781409099
2015,0.7559328054783921,0.773705184958087,0.752753954446176,0.7701621004023006
2016,0.7478937580398922,0.7611052159775892,0.745549872654003,0.7595942961154377
2017,0.7548003889923637,0.7667584110835389,0.7531401560429238,0.7656940550266581
2018,0.7587380994721238,0.7691038810750895,0.7549269837914312,0.7660800874845541
2019,0.7553334936857807,0.769519774583304,0.751904945577737,0.7679194697002505
2020,0.741033417364331,0.7593087935452298,0.7359713673576861,0.7565497182549659
2021,0.7415424721089031,0.7603705402821425,0.7364989378437908,0.7577424184339375
2022,0.7319711420230273,0.7545109844574791,0.7275259566428041,0.7520213581727889
2023,0.7310021886602448,0.7528287300127725,0.7281803523625229,0.752366425326693
2024,0.7623609024862452,0.769638734947129,0.7602495300666094,0.7712285201610536
2025,0.7491747589647285,0.7584279218849198,0.7468927068441217,0.7599817040320206
2026,0.7501750525185703,0.7590204576471903,0.7474704593864087,0.7602805830998626
2027,0.7543949982681764,0.7625228151351093,0.7514144588436719,0.7637157614114252
2028,0.7568360804276857,0.7638446429849224,0.7543651738807212,0.7654149354454056
2029,0.7804329402801866,0.7845557985240865,0.7770971950277129,0.7846678522606831
2030,0.7824244983956047,0.7827793256619254,0.7781929404201153,0.7826772547138747
2031,0.7825260534952234,0.7827068094826083,0.7783138496399107,0.7826615398014668
2032,0.7846218542817465,0.7862820483615819,0.7805395301933598,0.7862400460809342
2033,0.7858853138185613,0.7871628542325102,0.7815671969158791,0.7870000543159662
2034,0.7886606466052759,0.7881404982131153,0.7833131293720352,0.7866496796528413
2035,0.7938186169427078,0.7925692994741214,0.7888343127571559,0.7917081960265063
2036,0.8109945814310094,0.8083675219018823,0.8078086756401373,0.808850194164453
2037,0.821307436559413,0.8247940007469665,0.8163419551389307,0.8220608342802931
2038,0.8188058623311485,0.8211377015168219,0.8138629562479134,0.8186341563917507
2039,0.8269783478936735,0.8318740637820367,0.8237325599791897,0.8312477234433837
2040,0.8354596196758171,0.8410174403967613,0.8329971025127924,0.8407623408873477
2041,0.8785062063710846,0.8818116077996012,0.8799495674043238,0.8845431030058548
2042,0.8774497331792619,0.8813637622223902,0.8789874646756405,0.8841144991853427
2043,0.9097329411274783,0.9010712656768942,0.9136030051663646,0.9062089125097736
2044,0.9152363101031609,0.9187680892441418,0.9168810919477138,0.9185976312598763
2045,0.923425238123581,0.9256548562187842,0.9245654339107204,0.9240497569943269
2046,0.9257492810321574,0.9271173122718388,0.9270245583570521,0.9252165783687252
2047,0.927808647665141,0.928327538107698,0.9291695240416179,0.9263240092739022
2048,0.9276570293720113,0.9283888121043071,0.9293809044305754,0.9267223156941141
2049,0.9265070359051535,0.9277557126167612,0.9285017855049063,0.9262221997849623
2050,0.9277326887537937,0.9287605829082953,0.930040342540186,0.927441061818329
2051,0.9254594297439401,0.9264073697161164,0.9283584101066389,0.9257323125324836
2052,0.9224371182986462,0.9235438193337975,0.9265733040639944,0.9241223091687727
2053,0.9196615747927177,0.9219394891350379,0.9243169306639478,0.9235016401736261
2054,0.9267967687568495,0.9319324400362244,0.9330037043676525,0.9352594852138584
2055,0.9125465585565392,0.9165618888911804,0.917503957868703,0.919398553818489
2056,0.9125497674973363,0.9164323318968869,0.9180258668252929,0.9196982352578108
2057,0.9433411245057173,0.9330911081739647,0.9413834793039377,0.9321305412109544
2058,0.9399030447439763,0.9300455404997735,0.93813094075946,0.9294665473814335
2059,0.9502116523762122,0.9464855407209714,0.9487355515861754,0.9450531782727544
2060,0.9514822594589889,0.9492698127040665,0.9500269881619503,0.9477629148205238
2061,0.9568016373383247,0.9570342436605307,0.9572380232317467,0.9569815829270336
2062,0.9588083700117249,0.9584861229374698,0.9593326503966061,0.9586379869958617
2063,0.9589168680066716,0.9583635823256014,0.9593729670419889,0.9582712462838973
2064,0.9655923387340873,0.9627872293806908,0.9657150044711644,0.962607773525895
2065,0.9640400292137628,0.9611237369609295,0.9642532183169342,0.9609285169401935
2066,0.964584896450553,0.9651838376412345,0.9651944628401963,0.9660689477544099
2067,0.9655995786004752,0.9677068280194885,0.9668572875761282,0.9697899763782372
2068,0.9654319550446571,0.9675251531975109,0.9667129081215734,0.9696378107439433
2069,0.9632988661265225,0.9659748045947678,0.964551646598276,0.9680287810834859
2070,0.9586367110426341,0.9630153649860298,0.9603526295663273,0.9652528773928594
2071,0.9589661840168691,0.96340145718457,0.9606463517698153,0.9655564484771795
2072,0.9589777227578139,0.9634078227528747,0.9607442158114926,0.9656114286658889
2073,0.9740002616710931,0.9796017982107037,0.9736923224950153,0.9795161942806672
2074,0.9711614574859053,0.9771327976281596,0.9711730226063122,0.9773271349345967
2075,0.9702944651171976,0.9762193077736031,0.9704969781522669,0.9766353524775445
2076,0.9736346736299153,0.9788905527607066,0.973852992365456,0.9793509724116314
2077,0.9713643587403598,0.976050337588786,0.9715039168796826,0.9764009382370038
2078,0.9707278933445231,0.9757748470050103,0.9710055105951465,0.9761377300501309
2079,0.9776262843137242,0.9824922416010379,0.9775557754368962,0.9820297990460959
2080,0.9942059928761009,0.9944985837367074,0.9936096909115182,0.9933351590317056
2081,0.9921793389702181,0.9927902854981729,0.9914784728655142,0.9914272117274866
2082,0.9929087858999501,0.9938619218300427,0.9924153035766983,0.9927289556488462
2083,0.9944735670744319,0.9953624813996376,0.9940347869250553,0.9943115749109868
2084,0.9950079532714323,0.9969457212329411,0.9949033706074738,0.9968845255204926
2085,0.9957862583495898,0.9976507777824238,0.9957168716847115,0.9976604272652255
2086,0.9958123717097295,0.9976747581592966,0.9957465546899833,0.9976868173302463
2087,0.9954097476293853,0.9974858873308389,0.9954310565823103,0.9975457400714178
2088,0.9961808331894557,0.9979454091852354,0.9962361955250392,0.9980640925923941
2089,,,,
2090,,,,
2091,,,,
2092,,,,
2093,,,,
2094,,,,
2095,,,,
2096,,,,
2097,,,,
2098,,,,
